,TUDIARYDAY,Socializing for leisure,Alone time for leisure
33745,4,60,180
33746,5,0,760
33747,7,120,190
33748,7,340,60
33749,1,285,228
33750,5,30,95
33751,1,0,530
33752,2,0,369
33753,2,0,616
33754,3,30,510
33755,7,0,811
33756,5,0,105
33757,5,0,517
33758,2,0,0
33759,7,0,181
33760,4,0,345
33761,7,0,218
33762,1,150,160
33763,1,0,92
33764,6,0,425
33765,1,0,240
33766,5,0,188
33767,3,0,195
33768,6,0,115
33769,7,60,270
33770,1,10,310
33771,6,195,60
33772,1,0,480
33773,4,0,825
33774,1,0,230
33775,3,0,413
33776,2,0,300
33777,5,45,440
33778,6,0,240
33779,4,90,160
33780,7,150,0
33781,5,0,15
33782,7,135,266
33783,4,0,450
33784,2,105,300
33785,1,447,45
33786,6,0,0
33787,4,120,90
33788,2,0,290
33789,1,120,90
33790,3,0,225
33791,1,160,260
33792,1,0,765
33793,1,150,300
33794,7,60,155
33795,4,0,0
33796,1,0,45
33797,2,0,425
33798,5,157,52
33799,4,0,0
33800,2,0,150
33801,7,0,60
33802,3,0,290
33803,1,0,450
33804,7,300,0
33805,7,60,0
33806,5,0,913
33807,7,0,335
33808,7,473,0
33809,7,0,50
33810,6,0,60
33811,2,0,365
33812,6,0,250
33813,7,0,390
33814,5,60,300
33815,7,230,269
33816,2,0,200
33817,7,0,229
33818,2,0,158
33819,1,305,0
33820,4,0,760
33821,5,0,315
33822,1,0,0
33823,5,120,30
33824,7,0,195
33825,6,0,45
33826,1,0,830
33827,7,120,580
33828,1,0,266
33829,6,0,120
33830,1,60,490
33831,1,365,35
33832,1,0,144
33833,7,0,0
33834,2,0,180
33835,4,15,45
33836,1,0,160
33837,1,0,240
33838,7,0,375
33839,3,40,195
33840,5,30,599
33841,7,60,120
33842,4,90,0
33843,7,0,155
33844,1,20,0
33845,3,0,0
33846,1,0,241
33847,7,340,0
33848,1,0,700
33849,5,90,15
33850,2,0,235
33851,7,268,0
33852,7,60,195
33853,4,0,194
33854,4,0,30
33855,2,0,635
33856,7,0,290
33857,1,0,300
33858,7,0,0
33859,7,0,0
33860,7,270,90
33861,6,0,135
33862,7,325,537
33863,1,0,390
33864,4,0,0
33865,1,30,125
33866,6,0,385
33867,4,5,215
33868,7,0,203
33869,5,0,270
33870,5,0,135
33871,5,15,90
33872,1,0,345
33873,4,0,275
33874,5,0,300
33875,1,0,150
33876,7,120,505
33877,7,0,375
33878,1,135,50
33879,4,0,45
33880,7,0,330
33881,5,0,125
33882,4,0,0
33883,3,124,50
33884,1,0,0
33885,2,60,150
33886,1,0,330
33887,3,0,0
33888,7,330,230
33889,2,0,65
33890,2,195,255
33891,7,0,852
33892,7,60,200
33893,3,20,363
33894,4,0,90
33895,7,0,105
33896,7,0,120
33897,5,60,300
33898,1,40,105
33899,5,60,132
33900,1,0,60
33901,6,30,240
33902,4,234,0
33903,3,10,400
33904,7,160,0
33905,1,0,420
33906,2,0,510
33907,7,0,198
33908,7,15,120
33909,7,0,340
33910,7,0,188
33911,1,0,560
33912,2,0,260
33913,7,315,120
33914,7,0,90
33915,4,0,30
33916,4,60,250
33917,6,10,715
33918,7,30,90
33919,5,0,55
33920,4,0,165
33921,6,0,70
33922,1,355,120
33923,1,0,454
33924,7,0,120
33925,1,350,370
33926,2,0,225
33927,2,20,5
33928,2,5,30
33929,2,245,115
33930,5,0,445
33931,2,0,1025
33932,7,0,115
33933,5,0,388
33934,1,60,230
33935,6,35,220
33936,7,365,30
33937,3,0,240
33938,6,75,161
33939,4,120,215
33940,6,0,240
33941,1,0,270
33942,7,285,105
33943,5,25,75
33944,3,0,80
33945,1,0,525
33946,5,0,180
33947,7,0,285
33948,1,30,75
33949,7,0,315
33950,4,0,35
33951,5,0,195
33952,5,0,690
33953,4,0,603
33954,2,0,83
33955,2,15,95
33956,4,0,210
33957,1,0,435
33958,7,267,147
33959,7,0,198
33960,7,0,792
33961,3,0,145
33962,1,120,685
33963,3,2,0
33964,5,10,442
33965,7,0,420
33966,1,78,330
33967,1,0,180
33968,1,0,145
33969,2,60,115
33970,7,60,110
33971,5,0,70
33972,5,0,505
33973,4,60,225
33974,2,0,240
33975,7,0,240
33976,7,10,30
33977,4,15,70
33978,4,0,40
33979,4,330,90
33980,4,0,240
33981,3,0,248
33982,4,90,324
33983,1,0,670
33984,2,0,60
33985,1,168,112
33986,7,0,355
33987,7,0,255
33988,7,0,20
33989,7,45,0
33990,1,0,0
33991,6,0,220
33992,1,0,270
33993,1,60,481
33994,5,7,20
33995,7,30,0
33996,7,0,594
33997,7,0,630
33998,4,0,335
33999,7,0,330
34000,7,0,60
34001,3,0,315
34002,6,0,300
34003,3,20,183
34004,5,0,620
34005,5,0,160
34006,6,0,240
34007,1,0,390
34008,1,0,318
34009,5,0,285
34010,7,390,60
34011,4,0,180
34012,4,520,15
34013,4,172,140
34014,1,60,0
34015,2,0,379
34016,3,0,30
34017,7,0,225
34018,7,95,28
34019,1,0,225
34020,3,30,150
34021,7,0,580
34022,7,385,85
34023,5,20,408
34024,4,45,295
34025,1,0,90
34026,7,45,210
34027,4,0,535
34028,1,0,445
34029,6,20,181
34030,3,160,50
34031,5,0,140
34032,3,30,498
34033,2,0,60
34034,5,20,30
34035,4,0,140
34036,6,0,110
34037,3,0,315
34038,4,0,315
34039,7,0,500
34040,6,80,30
34041,7,222,148
34042,7,370,0
34043,7,405,10
34044,1,0,315
34045,5,0,465
34046,2,75,35
34047,1,0,0
34048,1,0,120
34049,1,0,525
34050,7,390,44
34051,1,0,175
34052,1,30,394
34053,2,0,135
34054,4,0,275
34055,1,0,603
34056,1,120,135
34057,5,77,184
34058,5,0,90
34059,4,90,238
34060,5,0,65
34061,3,0,500
34062,2,0,540
34063,4,0,124
34064,6,0,0
34065,1,0,125
34066,7,0,172
34067,3,0,15
34068,2,30,120
34069,2,0,301
34070,1,0,270
34071,1,0,550
34072,1,180,70
34073,6,0,124
34074,1,185,145
34075,7,600,60
34076,3,0,0
34077,5,0,45
34078,5,0,140
34079,4,0,15
34080,3,0,900
34081,3,0,330
34082,1,0,0
34083,2,150,10
34084,2,20,78
34085,1,30,335
34086,7,280,90
34087,7,10,195
34088,4,10,160
34089,1,0,245
34090,7,265,90
34091,6,120,608
34092,5,0,310
34093,7,197,90
34094,1,0,430
34095,4,30,342
34096,7,275,395
34097,3,0,55
34098,7,530,90
34099,4,125,50
34100,1,0,105
34101,5,60,150
34102,3,0,120
34103,2,0,0
34104,7,60,90
34105,1,0,120
34106,1,100,133
34107,4,0,125
34108,1,30,81
34109,1,0,155
34110,5,0,55
34111,7,155,30
34112,3,0,175
34113,7,0,473
34114,5,0,280
34115,6,55,30
34116,5,62,250
34117,1,0,195
34118,1,0,500
34119,7,120,215
34120,7,240,111
34121,7,60,405
34122,1,0,175
34123,7,60,89
34124,1,75,220
34125,7,0,365
34126,1,120,375
34127,3,60,0
34128,5,0,196
34129,5,0,210
34130,1,60,375
34131,4,0,219
34132,4,0,0
34133,7,179,210
34134,2,0,243
34135,6,0,330
34136,2,0,0
34137,4,0,105
34138,2,170,335
34139,1,175,370
34140,7,0,255
34141,1,0,360
34142,7,210,525
34143,7,235,270
34144,1,0,455
34145,7,60,270
34146,1,0,550
34147,5,0,748
34148,6,165,470
34149,1,0,0
34150,2,105,0
34151,4,0,810
34152,7,165,600
34153,7,0,60
34154,1,0,90
34155,5,0,85
34156,4,205,150
34157,3,90,65
34158,6,140,0
34159,2,0,35
34160,7,280,225
34161,1,0,565
34162,1,0,870
34163,5,5,388
34164,7,0,210
34165,4,55,90
34166,4,10,56
34167,2,0,220
34168,6,60,120
34169,3,105,369
34170,7,5,15
34171,7,0,110
34172,4,0,372
34173,2,0,375
34174,5,0,525
34175,7,150,84
34176,2,0,240
34177,1,74,280
34178,7,210,15
34179,1,0,718
34180,7,303,190
34181,7,0,210
34182,1,65,35
34183,1,80,265
34184,5,0,230
34185,5,0,225
34186,1,90,120
34187,4,235,105
34188,6,30,15
34189,4,50,530
34190,1,0,283
34191,6,60,172
34192,5,0,300
34193,1,45,45
34194,7,0,645
34195,2,0,0
34196,6,30,60
34197,3,15,35
34198,4,0,115
34199,7,200,190
34200,4,0,265
34201,7,60,265
34202,3,0,350
34203,7,0,140
34204,7,153,465
34205,7,658,60
34206,1,60,430
34207,1,0,459
34208,1,0,250
34209,7,0,705
34210,6,0,80
34211,4,0,360
34212,3,0,75
34213,5,0,90
34214,1,0,60
34215,3,0,72
34216,1,0,381
34217,7,0,70
34218,7,0,361
34219,1,0,0
34220,6,0,60
34221,5,0,330
34222,1,0,780
34223,4,0,180
34224,5,0,278
34225,1,60,700
34226,1,30,662
34227,6,30,300
34228,1,360,185
34229,4,0,15
34230,1,0,30
34231,7,90,15
34232,7,420,170
34233,7,6,221
34234,7,0,270
34235,6,165,30
34236,2,0,219
34237,7,150,60
34238,1,0,270
34239,4,0,110
34240,1,0,960
34241,5,0,230
34242,4,0,0
34243,4,105,225
34244,1,0,0
34245,7,55,0
34246,6,0,30
34247,1,0,548
34248,4,0,240
34249,3,90,192
34250,7,160,0
34251,2,0,272
34252,3,0,460
34253,1,0,105
34254,2,0,990
34255,3,40,0
34256,7,570,300
34257,4,0,260
34258,4,49,135
34259,7,60,410
34260,6,0,240
34261,2,0,90
34262,1,75,270
34263,4,155,200
34264,5,0,422
34265,3,0,165
34266,7,615,45
34267,3,0,154
34268,2,0,138
34269,7,0,178
34270,7,0,768
34271,7,0,510
34272,3,0,0
34273,7,0,365
34274,3,0,0
34275,1,0,815
34276,5,0,130
34277,1,200,270
34278,6,0,0
34279,5,95,40
34280,4,150,375
34281,2,95,115
34282,6,60,20
34283,5,0,180
34284,1,0,660
34285,1,0,275
34286,4,30,155
34287,5,188,0
34288,4,0,120
34289,1,30,15
34290,7,0,608
34291,3,0,145
34292,7,100,250
34293,4,0,40
34294,7,327,277
34295,5,0,130
34296,4,120,260
34297,2,68,38
34298,3,0,15
34299,7,0,326
34300,1,0,155
34301,7,0,230
34302,1,190,135
34303,3,115,110
34304,6,60,220
34305,1,0,555
34306,5,180,150
34307,1,0,420
34308,4,60,490
34309,6,0,60
34310,7,0,255
34311,6,123,80
34312,3,0,170
34313,7,162,340
34314,3,120,210
34315,1,0,270
34316,1,5,449
34317,4,0,0
34318,6,60,45
34319,3,60,210
34320,5,0,230
34321,5,20,163
34322,4,45,155
34323,2,0,345
34324,5,20,335
34325,7,0,925
34326,5,0,191
34327,1,0,287
34328,1,0,75
34329,7,60,885
34330,3,0,600
34331,4,0,410
34332,4,45,100
34333,3,20,458
34334,7,20,140
34335,6,0,35
34336,7,0,515
34337,5,0,295
34338,1,0,165
34339,4,0,370
34340,1,0,390
34341,3,0,570
34342,7,30,110
34343,1,0,425
34344,6,0,780
34345,1,0,470
34346,1,60,45
34347,1,225,105
34348,1,120,380
34349,5,90,180
34350,2,0,135
34351,7,5,0
34352,7,60,540
34353,1,0,445
34354,6,240,15
34355,7,120,340
34356,1,0,242
34357,3,0,250
34358,4,0,15
34359,6,0,145
34360,4,15,350
34361,4,0,180
34362,3,0,0
34363,1,52,80
34364,3,0,0
34365,7,0,100
34366,1,110,510
34367,1,20,676
34368,2,20,120
34369,6,195,0
34370,7,145,20
34371,7,0,522
34372,6,35,350
34373,1,0,825
34374,1,210,225
34375,2,0,428
34376,4,0,603
34377,7,40,405
34378,3,150,203
34379,2,0,540
34380,7,0,335
34381,5,0,425
34382,1,0,430
34383,7,280,55
34384,7,0,305
34385,6,20,0
34386,6,50,540
34387,5,20,180
34388,7,0,60
34389,4,0,325
34390,3,0,243
34391,5,0,220
34392,3,0,15
34393,7,164,205
34394,1,120,570
34395,1,0,274
34396,4,250,295
34397,7,0,300
34398,1,0,165
34399,7,20,125
34400,7,60,10
34401,3,0,300
34402,6,75,150
34403,2,0,330
34404,1,0,220
34405,1,120,30
34406,1,110,120
34407,7,60,405
34408,1,120,240
34409,1,0,505
34410,7,14,0
34411,2,40,90
34412,4,0,0
34413,7,45,370
34414,7,0,305
34415,2,65,165
34416,5,0,90
34417,7,130,400
34418,4,0,160
34419,6,60,459
34420,1,0,25
34421,6,0,275
34422,7,0,250
34423,7,0,20
34424,4,0,60
34425,7,233,270
34426,2,0,30
34427,1,20,560
34428,6,0,136
34429,4,0,210
34430,7,90,230
34431,3,15,60
34432,6,0,530
34433,1,60,30
34434,1,0,150
34435,5,58,60
34436,6,0,0
34437,7,270,15
34438,3,30,120
34439,1,15,490
34440,4,0,420
34441,6,0,0
34442,7,258,120
34443,7,0,30
34444,5,60,490
34445,3,0,330
34446,4,0,180
34447,7,900,0
34448,7,200,402
34449,2,0,394
34450,7,60,390
34451,7,0,60
34452,7,0,115
34453,7,330,90
34454,7,0,270
34455,7,90,150
34456,7,315,210
34457,1,0,220
34458,7,0,0
34459,3,15,125
34460,4,180,60
34461,5,60,125
34462,5,83,135
34463,2,10,75
34464,7,180,240
34465,1,15,445
34466,5,210,75
34467,7,60,380
34468,7,210,30
34469,1,0,130
34470,1,120,180
34471,1,5,415
34472,6,198,20
34473,5,151,92
34474,1,0,210
34475,6,299,335
34476,4,0,360
34477,5,240,0
34478,5,230,0
34479,4,0,425
34480,1,180,385
34481,7,126,260
34482,3,0,140
34483,7,0,611
34484,1,0,256
34485,6,0,130
34486,4,60,175
34487,4,0,5
34488,3,110,134
34489,2,141,0
34490,1,0,315
34491,1,240,240
34492,3,0,165
34493,2,0,180
34494,1,340,280
34495,1,0,270
34496,1,0,190
34497,1,0,300
34498,1,0,555
34499,1,30,444
34500,1,0,387
34501,1,120,165
34502,1,0,270
34503,4,0,876
34504,1,180,0
34505,1,20,440
34506,1,30,580
34507,3,0,510
34508,3,36,175
34509,7,200,250
34510,4,0,90
34511,1,0,0
34512,1,450,60
34513,1,0,135
34514,2,150,180
34515,1,0,480
34516,2,0,132
34517,1,495,170
34518,3,0,210
34519,4,0,310
34520,7,60,240
34521,1,0,520
34522,4,0,170
34523,4,150,0
34524,1,65,378
34525,1,0,390
34526,7,145,340
34527,1,0,705
34528,4,60,165
34529,3,215,208
34530,1,0,275
34531,1,0,480
34532,7,180,283
34533,1,25,475
34534,2,0,75
34535,1,90,520
34536,3,5,0
34537,1,45,180
34538,7,0,570
34539,1,0,300
34540,1,225,300
34541,7,120,210
34542,3,0,114
34543,1,0,510
34544,4,0,208
34545,2,0,355
34546,1,0,920
34547,4,0,120
34548,7,165,175
34549,1,0,471
34550,7,665,15
34551,2,0,30
34552,2,0,230
34553,7,20,510
34554,1,0,60
34555,2,0,720
34556,1,190,200
34557,1,0,287
34558,2,0,357
34559,1,45,195
34560,7,360,0
34561,1,350,300
34562,2,0,390
34563,4,45,185
34564,7,15,515
34565,7,140,120
34566,7,120,120
34567,4,120,682
34568,1,30,0
34569,1,0,430
34570,1,0,615
34571,3,0,214
34572,3,0,70
34573,7,0,650
34574,2,0,75
34575,7,15,848
34576,1,90,335
34577,4,65,190
34578,1,90,150
34579,4,0,270
34580,7,65,180
34581,3,0,60
34582,4,0,345
34583,7,240,210
34584,3,0,265
34585,1,0,150
34586,4,0,315
34587,7,270,270
34588,3,0,555
34589,1,0,105
34590,1,120,150
34591,7,0,360
34592,1,0,580
34593,3,0,95
34594,2,0,560
34595,4,15,135
34596,2,0,60
34597,1,160,175
34598,7,345,270
34599,1,0,120
34600,4,90,150
34601,3,25,195
34602,2,0,810
34603,1,240,280
34604,1,0,560
34605,7,60,378
34606,4,65,385
34607,3,0,435
34608,1,415,95
34609,7,180,475
34610,1,0,160
34611,3,0,140
34612,4,212,60
34613,3,105,70
34614,1,0,460
34615,2,0,330
34616,2,40,446
34617,3,0,690
34618,1,0,60
34619,3,10,60
34620,3,15,380
34621,1,0,240
34622,4,0,595
34623,1,0,515
34624,7,185,355
34625,2,0,315
34626,4,0,310
34627,1,0,545
34628,1,290,300
34629,1,240,660
34630,1,0,90
34631,1,45,630
34632,7,0,420
34633,2,29,200
34634,7,120,410
34635,1,0,665
34636,2,243,190
34637,1,340,275
34638,4,25,290
34639,3,0,280
34640,7,30,695
34641,3,70,90
34642,4,0,220
34643,3,10,350
34644,2,30,390
34645,1,0,516
34646,1,0,770
34647,3,170,20
34648,4,0,344
34649,1,0,360
34650,4,0,130
34651,3,15,150
34652,2,10,120
34653,2,60,60
34654,2,60,30
34655,1,0,300
34656,1,0,349
34657,1,48,38
34658,3,300,0
34659,2,0,385
34660,1,0,700
34661,2,0,480
34662,4,0,95
34663,1,240,90
34664,1,40,15
34665,3,0,330
34666,1,30,355
34667,1,0,105
34668,4,60,241
34669,1,0,315
34670,7,125,70
34671,4,155,380
34672,1,0,240
34673,3,0,830
34674,3,0,100
34675,1,160,90
34676,4,0,275
34677,1,150,110
34678,2,0,240
34679,1,0,460
34680,2,240,615
34681,1,0,44
34682,1,0,320
34683,3,0,150
34684,3,150,135
34685,7,270,370
34686,1,245,343
34687,3,0,90
34688,7,60,330
34689,1,89,0
34690,3,0,450
34691,1,0,385
34692,7,540,320
34693,4,0,180
34694,1,0,15
34695,5,15,199
34696,1,0,240
34697,2,560,40
34698,7,512,84
34699,1,0,165
34700,7,0,0
34701,1,60,165
34702,7,0,15
34703,2,120,0
34704,2,0,0
34705,1,0,0
34706,1,90,240
34707,2,0,120
34708,5,240,210
34709,2,60,60
34710,1,0,15
34711,1,0,180
34712,7,225,75
34713,4,0,270
34714,1,0,440
34715,1,0,706
34716,1,0,480
34717,7,60,410
34718,1,0,639
34719,1,380,0
34720,1,0,265
34721,2,45,358
34722,3,165,105
34723,7,150,380
34724,4,30,530
34725,7,171,135
34726,5,0,90
34727,2,0,45
34728,6,0,175
34729,5,0,10
34730,7,30,330
34731,6,0,190
34732,1,0,630
34733,3,0,448
34734,7,30,108
34735,1,20,216
34736,2,0,120
34737,1,75,40
34738,2,0,125
34739,7,0,270
34740,7,209,70
34741,2,120,390
34742,2,0,258
34743,5,0,330
34744,1,0,750
34745,2,0,330
34746,5,50,280
34747,2,59,368
34748,3,0,650
34749,1,35,320
34750,2,30,150
34751,7,0,475
34752,5,0,390
34753,3,0,166
34754,1,55,490
34755,1,0,585
34756,4,0,135
34757,7,0,530
34758,1,15,75
34759,7,0,0
34760,1,0,120
34761,1,90,510
34762,2,93,0
34763,7,4,405
34764,1,60,175
34765,7,0,330
34766,6,0,275
34767,1,30,170
34768,7,0,450
34769,7,0,224
34770,3,60,180
34771,1,0,475
34772,4,0,90
34773,2,0,75
34774,1,0,430
34775,5,95,159
34776,1,0,322
34777,1,0,892
34778,7,45,160
34779,1,0,435
34780,2,0,150
34781,5,120,495
34782,7,0,150
34783,3,45,230
34784,2,35,60
34785,7,0,540
34786,1,120,430
34787,2,0,238
34788,1,0,380
34789,7,0,270
34790,1,0,0
34791,1,0,773
34792,1,0,300
34793,2,0,35
34794,1,0,400
34795,2,0,50
34796,1,0,212
34797,5,0,270
34798,2,0,301
34799,7,0,263
34800,6,185,30
34801,6,30,174
34802,7,0,90
34803,2,2,285
34804,4,0,600
34805,7,0,610
34806,3,0,120
34807,1,240,465
34808,5,0,820
34809,1,90,100
34810,3,0,325
34811,4,0,290
34812,1,80,35
34813,1,60,390
34814,7,0,360
34815,1,0,605
34816,1,0,539
34817,1,0,90
34818,1,15,150
34819,6,0,610
34820,5,0,180
34821,5,10,360
34822,2,0,230
34823,1,0,289
34824,1,60,300
34825,6,0,245
34826,5,15,105
34827,3,0,80
34828,1,0,130
34829,7,0,630
34830,1,240,300
34831,2,110,95
34832,1,54,494
34833,1,0,190
34834,3,0,260
34835,1,270,270
34836,2,30,60
34837,2,0,0
34838,1,0,105
34839,7,0,350
34840,1,90,0
34841,7,0,119
34842,1,0,90
34843,4,0,255
34844,3,0,60
34845,6,15,270
34846,7,0,0
34847,7,30,0
34848,5,0,165
34849,6,0,815
34850,1,90,210
34851,2,90,355
34852,1,0,283
34853,1,374,0
34854,7,0,460
34855,1,85,90
34856,1,80,155
34857,7,0,860
34858,6,0,245
34859,1,180,275
34860,2,0,300
34861,1,0,90
34862,1,0,420
34863,1,0,355
34864,2,0,108
34865,1,60,580
34866,1,0,380
34867,7,0,155
34868,2,25,217
34869,1,15,85
34870,3,0,90
34871,2,0,280
34872,1,0,210
34873,1,0,135
34874,7,0,278
34875,1,120,370
34876,3,0,415
34877,7,0,180
34878,1,0,230
34879,1,0,609
34880,4,67,495
34881,1,0,720
34882,1,140,492
34883,3,0,555
34884,1,150,60
34885,1,0,0
34886,1,0,140
34887,1,45,210
34888,7,0,210
34889,1,0,720
34890,7,0,175
34891,6,0,175
34892,1,0,651
34893,1,40,190
34894,2,60,20
34895,5,0,135
34896,3,30,120
34897,1,0,575
34898,5,0,705
34899,1,0,114
34900,6,428,105
34901,7,0,22
34902,6,0,232
34903,1,0,0
34904,2,0,110
34905,1,60,365
34906,7,270,60
34907,7,120,365
34908,1,10,420
34909,2,90,20
34910,6,75,407
34911,2,0,30
34912,4,0,150
34913,4,0,145
34914,1,0,280
34915,2,0,25
34916,1,60,200
34917,1,0,0
34918,3,0,310
34919,5,0,130
34920,2,0,480
34921,2,210,275
34922,5,0,60
34923,3,0,270
34924,1,0,515
34925,7,0,694
34926,5,0,15
34927,1,60,745
34928,2,0,120
34929,4,0,214
34930,1,0,165
34931,5,0,135
34932,7,0,200
34933,1,0,390
34934,1,0,275
34935,4,0,85
34936,1,40,202
34937,7,90,292
34938,7,60,340
34939,4,149,680
34940,1,0,440
34941,2,0,246
34942,2,0,180
34943,7,0,230
34944,2,0,30
34945,7,0,210
34946,1,0,992
34947,5,189,790
34948,1,429,175
34949,1,233,30
34950,7,470,170
34951,1,30,15
34952,7,185,180
34953,3,0,210
34954,4,30,230
34955,7,0,325
34956,7,270,125
34957,7,0,450
34958,7,61,135
34959,4,0,390
34960,1,0,90
34961,7,0,20
34962,3,0,400
34963,1,30,320
34964,5,0,50
34965,1,0,290
34966,6,0,15
34967,1,0,5
34968,2,0,45
34969,4,0,0
34970,5,15,120
34971,7,210,295
34972,4,0,105
34973,7,0,465
34974,7,0,485
34975,6,0,165
34976,3,0,55
34977,6,0,60
34978,5,0,140
34979,7,0,210
34980,7,0,0
34981,7,145,100
34982,1,0,390
34983,7,0,265
34984,1,0,440
34985,3,0,120
34986,1,105,35
34987,4,0,255
34988,7,430,20
34989,7,0,630
34990,1,255,120
34991,7,181,90
34992,3,330,10
34993,6,0,375
34994,1,0,140
34995,3,0,60
34996,7,440,280
34997,1,0,350
34998,7,0,655
34999,7,255,360
35000,4,0,170
35001,7,0,720
35002,6,0,690
35003,6,0,125
35004,6,15,120
35005,7,0,320
35006,3,0,150
35007,1,80,215
35008,7,0,135
35009,6,15,204
35010,7,0,0
35011,1,0,0
35012,7,0,0
35013,1,5,180
35014,1,10,435
35015,6,170,215
35016,7,0,240
35017,1,0,90
35018,1,520,0
35019,5,0,128
35020,1,120,75
35021,7,315,150
35022,4,45,99
35023,5,0,0
35024,4,30,120
35025,7,0,120
35026,6,0,155
35027,1,0,480
35028,2,147,480
35029,3,0,120
35030,3,25,475
35031,4,0,330
35032,7,140,0
35033,7,0,608
35034,7,0,403
35035,2,0,215
35036,5,0,95
35037,4,0,0
35038,3,0,885
35039,1,0,150
35040,7,10,150
35041,5,0,120
35042,5,0,180
35043,2,0,220
35044,6,0,238
35045,6,30,60
35046,6,0,799
35047,6,0,30
35048,4,0,390
35049,2,30,210
35050,3,25,115
35051,1,140,500
35052,7,0,30
35053,7,0,400
35054,1,0,430
35055,4,0,45
35056,6,0,260
35057,1,0,600
35058,7,113,480
35059,7,0,165
35060,6,110,358
35061,7,330,0
35062,4,0,213
35063,7,170,655
35064,3,0,114
35065,4,0,120
35066,7,442,143
35067,7,0,120
35068,4,13,90
35069,3,0,190
35070,5,0,168
35071,6,90,180
35072,1,0,108
35073,5,0,70
35074,7,265,360
35075,7,0,280
35076,6,0,240
35077,7,0,30
35078,3,0,385
35079,1,0,665
35080,2,0,95
35081,3,22,137
35082,7,95,605
35083,5,0,500
35084,3,10,50
35085,1,0,435
35086,7,60,77
35087,7,0,572
35088,1,60,260
35089,4,141,55
35090,1,40,50
35091,1,0,300
35092,5,0,495
35093,1,15,233
35094,7,120,105
35095,7,0,278
35096,6,0,115
35097,1,0,194
35098,7,0,360
35099,1,0,150
35100,2,0,326
35101,2,60,255
35102,7,35,120
35103,7,0,180
35104,5,20,120
35105,7,125,285
35106,2,0,685
35107,2,0,105
35108,1,0,555
35109,1,0,350
35110,5,1,75
35111,7,0,135
35112,1,0,300
35113,4,0,245
35114,5,355,180
35115,4,0,60
35116,6,260,15
35117,6,0,677
35118,2,0,100
35119,7,0,195
35120,7,335,34
35121,4,30,70
35122,1,0,520
35123,5,0,230
35124,4,20,79
35125,6,60,10
35126,7,0,120
35127,6,0,325
35128,7,210,330
35129,2,0,75
35130,7,0,600
35131,3,0,100
35132,2,0,120
35133,7,0,720
35134,6,145,80
35135,4,0,145
35136,2,240,20
35137,7,0,180
35138,7,0,555
35139,6,0,50
35140,6,20,90
35141,6,0,90
35142,7,0,140
35143,7,354,85
35144,2,30,185
35145,1,165,210
35146,7,75,330
35147,7,0,160
35148,7,0,210
35149,5,0,0
35150,6,0,118
35151,1,35,300
35152,6,0,170
35153,6,0,60
35154,3,0,95
35155,6,0,190
35156,2,35,60
35157,7,169,5
35158,4,0,105
35159,3,10,683
35160,6,30,185
35161,3,80,225
35162,6,0,105
35163,5,0,391
35164,4,0,0
35165,6,0,60
35166,1,0,150
35167,1,0,255
35168,1,60,110
35169,1,0,225
35170,4,30,330
35171,1,40,360
35172,3,0,449
35173,1,0,588
35174,7,0,364
35175,2,30,120
35176,6,0,280
35177,5,0,51
35178,1,10,350
35179,5,0,470
35180,7,0,545
35181,6,0,360
35182,4,60,178
35183,1,50,205
35184,1,120,170
35185,6,0,269
35186,5,30,160
35187,6,0,269
35188,4,0,155
35189,1,80,60
35190,3,0,260
35191,5,30,145
35192,7,0,60
35193,3,0,0
35194,2,0,180
35195,4,0,220
35196,2,0,135
35197,1,0,303
35198,5,0,0
35199,7,279,189
35200,7,0,120
35201,3,180,275
35202,7,360,235
35203,6,15,495
35204,7,0,100
35205,1,20,135
35206,2,0,179
35207,1,0,540
35208,4,45,265
35209,7,90,195
35210,7,0,545
35211,1,0,735
35212,1,165,108
35213,7,150,14
35214,5,0,345
35215,1,0,120
35216,1,140,115
35217,1,0,690
35218,7,0,160
35219,1,0,30
35220,7,0,510
35221,3,0,0
35222,5,60,690
35223,6,0,194
35224,1,15,120
35225,6,0,145
35226,5,150,100
35227,6,0,740
35228,6,0,185
35229,4,0,85
35230,1,255,0
35231,5,12,146
35232,4,0,165
35233,4,0,130
35234,7,15,333
35235,1,0,590
35236,6,0,780
35237,4,90,90
35238,1,40,60
35239,1,0,90
35240,5,0,690
35241,5,0,0
35242,5,0,633
35243,4,0,140
35244,2,0,180
35245,1,90,180
35246,4,0,97
35247,3,0,200
35248,3,0,185
35249,1,15,328
35250,7,0,470
35251,7,0,220
35252,1,60,75
35253,3,0,315
35254,3,0,0
35255,1,0,245
35256,2,60,315
35257,7,385,0
35258,2,0,206
35259,1,0,360
35260,1,0,490
35261,2,0,30
35262,7,0,210
35263,6,0,100
35264,1,120,88
35265,3,0,60
35266,7,0,130
35267,7,120,0
35268,7,50,390
35269,7,0,360
35270,7,0,80
35271,5,0,20
35272,1,150,195
35273,2,0,90
35274,6,0,155
35275,5,170,15
35276,7,105,300
35277,7,0,270
35278,1,0,312
35279,3,0,240
35280,1,290,110
35281,7,442,0
35282,1,15,290
35283,7,0,337
35284,7,0,570
35285,1,0,630
35286,7,0,450
35287,1,0,30
35288,5,310,300
35289,1,0,245
35290,4,0,90
35291,5,40,165
35292,3,40,0
35293,1,0,550
35294,7,0,510
35295,1,60,90
35296,6,0,688
