,TUYEAR,Working,Other income generating activities,Job search and Interviewing
179,2003,0,0,0
180,2003,715,0,0
181,2003,535,0,0
182,2003,494,0,0
183,2003,503,0,0
184,2003,487,0,0
185,2003,0,0,0
186,2003,495,0,0
187,2003,0,0,0
188,2003,0,0,0
189,2003,0,0,0
190,2003,0,0,0
191,2003,0,0,0
192,2003,0,0,0
193,2003,0,0,0
194,2003,725,0,0
195,2003,470,0,0
196,2003,829,0,0
197,2003,0,0,0
198,2003,555,0,0
199,2003,60,0,0
200,2003,0,0,0
201,2003,551,0,0
202,2003,570,0,0
203,2003,0,0,0
204,2003,0,0,0
205,2003,0,0,0
206,2003,0,0,0
207,2003,0,0,0
208,2003,0,0,150
209,2003,0,0,0
210,2003,0,0,0
211,2003,480,0,0
212,2003,435,0,0
213,2003,0,0,0
214,2003,480,0,0
215,2003,485,0,0
216,2003,0,0,0
217,2003,365,0,0
218,2003,360,0,0
219,2003,0,0,0
220,2003,570,0,0
221,2003,491,0,0
222,2003,572,0,0
223,2003,575,0,0
224,2003,0,0,0
225,2003,0,0,0
226,2003,0,0,0
227,2003,0,0,0
228,2003,0,0,0
229,2003,0,0,0
230,2003,550,0,0
231,2003,0,0,0
232,2003,165,0,0
233,2003,0,0,0
234,2003,0,0,0
235,2003,475,0,0
236,2003,485,0,0
237,2003,120,0,0
238,2003,0,0,0
239,2003,263,0,0
240,2003,0,0,0
241,2003,0,0,0
242,2003,0,0,0
243,2003,0,0,0
244,2003,0,0,0
245,2003,0,0,0
246,2003,0,0,0
247,2003,0,0,0
248,2003,570,0,0
249,2003,120,0,0
250,2003,0,0,0
251,2003,0,0,0
252,2003,490,0,0
253,2003,0,0,0
254,2003,0,0,0
255,2003,0,0,0
256,2003,0,0,0
257,2003,0,0,0
258,2003,0,0,0
259,2003,460,0,0
260,2003,0,0,0
261,2003,620,0,0
262,2003,502,0,0
263,2003,0,0,0
264,2003,110,0,0
265,2003,0,0,54
266,2003,0,0,0
267,2003,0,0,0
268,2003,0,0,0
269,2003,0,0,0
270,2003,595,0,0
271,2003,315,0,0
272,2003,0,0,0
273,2003,475,0,0
274,2003,540,0,0
275,2003,390,0,0
276,2003,0,0,0
277,2003,0,0,120
278,2003,0,0,0
279,2003,0,0,0
280,2003,0,0,0
281,2003,0,0,0
282,2003,0,0,0
283,2003,0,0,0
284,2003,415,0,0
285,2003,0,0,0
286,2003,435,0,0
287,2003,0,0,0
288,2003,0,0,0
289,2003,0,0,0
290,2003,340,0,0
291,2003,0,0,0
292,2003,0,0,0
293,2003,420,0,0
294,2003,0,0,0
295,2003,0,0,0
296,2003,210,0,0
297,2003,515,0,0
298,2003,0,0,0
299,2003,496,0,0
300,2003,0,0,0
301,2003,614,0,0
302,2003,475,0,0
303,2003,0,0,0
304,2003,0,0,0
305,2003,0,0,0
306,2003,225,0,0
307,2003,0,0,0
308,2003,150,0,0
309,2003,480,0,0
310,2003,470,0,0
311,2003,495,0,0
312,2003,490,0,0
313,2003,0,0,0
314,2003,0,0,0
315,2003,477,0,0
316,2003,560,0,0
317,2003,60,0,0
318,2003,440,0,0
319,2003,0,0,0
320,2003,0,0,0
321,2003,0,0,0
322,2003,555,0,0
323,2003,510,0,0
324,2003,490,0,0
325,2003,0,0,0
326,2003,0,0,0
327,2003,0,0,0
328,2003,0,0,0
329,2003,600,0,0
330,2003,563,0,0
331,2003,0,0,0
332,2003,0,0,0
333,2003,0,0,0
334,2003,470,0,0
335,2003,0,0,0
336,2003,0,0,0
337,2003,550,0,0
338,2003,0,0,0
339,2003,0,0,0
340,2003,0,0,0
341,2003,0,0,0
342,2003,290,0,0
343,2003,588,0,0
344,2003,465,0,0
345,2003,0,0,0
346,2003,620,0,0
347,2003,305,0,0
348,2003,0,0,0
349,2003,0,0,0
350,2003,0,0,0
351,2003,0,0,0
352,2003,840,0,0
353,2003,0,0,0
354,2003,867,0,0
355,2003,0,0,0
356,2003,0,0,0
357,2003,0,0,0
358,2003,665,0,0
359,2003,372,0,0
360,2003,0,0,60
361,2003,0,0,0
362,2003,0,0,0
363,2003,0,0,0
364,2003,385,0,0
365,2003,540,0,0
366,2003,0,0,0
367,2003,0,0,0
368,2003,0,0,0
369,2003,0,0,0
370,2003,0,0,0
371,2003,625,0,0
372,2003,205,0,0
373,2003,0,0,0
374,2003,583,0,0
375,2003,0,0,0
376,2003,0,0,0
377,2003,0,0,0
378,2003,460,0,0
379,2003,285,0,0
380,2003,0,0,0
381,2003,458,0,0
382,2003,580,0,0
383,2003,0,0,0
384,2003,0,0,0
385,2003,0,0,0
386,2003,45,0,0
387,2003,0,0,0
388,2003,260,0,0
389,2003,625,0,0
390,2003,405,0,0
391,2003,0,0,0
392,2003,415,0,0
393,2003,475,0,0
394,2003,620,0,0
395,2003,535,0,0
396,2003,490,0,0
397,2003,480,0,0
398,2003,10,0,0
399,2003,0,0,0
400,2003,0,0,0
401,2003,0,0,0
402,2003,0,0,0
403,2003,0,0,0
404,2003,376,0,0
405,2003,560,0,0
406,2003,0,0,0
407,2003,0,0,0
408,2003,20,0,0
409,2003,120,0,0
410,2003,515,0,0
411,2003,690,0,0
412,2003,400,0,0
413,2003,0,0,0
414,2003,0,0,0
415,2003,305,0,0
416,2003,516,0,0
417,2003,395,0,0
418,2003,647,0,0
419,2003,365,0,0
420,2003,614,0,0
421,2003,0,0,0
422,2003,485,0,0
423,2003,0,0,0
424,2003,0,0,30
425,2003,795,0,0
426,2003,0,0,0
427,2003,652,0,0
428,2003,0,0,0
429,2003,0,0,0
430,2003,545,0,0
431,2003,75,0,0
432,2003,487,0,0
433,2003,0,0,0
434,2003,500,0,0
435,2003,0,440,0
436,2003,0,0,0
437,2003,0,0,0
438,2003,328,0,0
439,2003,555,0,0
440,2003,0,0,0
441,2003,0,0,0
442,2003,0,0,0
443,2003,510,0,0
444,2003,0,0,0
445,2003,0,0,0
446,2003,728,0,0
447,2003,0,0,0
448,2003,0,0,0
449,2003,30,0,0
450,2003,493,0,0
451,2003,0,0,0
452,2003,420,0,0
453,2003,475,0,0
454,2003,0,0,0
455,2003,0,0,0
456,2003,0,0,0
457,2003,0,0,0
458,2003,595,0,0
459,2003,0,0,0
460,2003,0,0,0
461,2003,120,0,0
462,2003,90,0,0
463,2003,0,0,0
464,2003,0,0,0
465,2003,448,0,0
466,2003,150,0,0
467,2003,405,0,0
468,2003,620,0,60
469,2003,180,0,0
470,2003,500,0,0
471,2003,15,0,180
472,2003,790,0,0
473,2003,0,0,0
474,2003,0,0,0
475,2003,0,0,0
476,2003,0,0,0
477,2003,625,0,0
478,2003,0,0,0
479,2003,0,0,0
480,2003,0,0,0
481,2003,0,0,0
482,2003,560,0,0
483,2003,550,0,0
484,2003,541,0,0
485,2003,0,0,0
486,2003,0,0,0
487,2003,6,0,0
488,2003,0,0,0
489,2003,0,0,0
490,2003,480,0,0
491,2003,0,0,0
492,2003,0,0,0
493,2003,0,0,0
494,2003,440,0,0
495,2003,523,0,0
496,2003,525,0,0
497,2003,357,0,0
498,2003,0,0,0
499,2003,0,0,0
500,2003,0,0,0
501,2003,465,0,0
502,2003,480,0,0
503,2003,0,0,0
504,2003,0,0,0
505,2003,0,0,0
506,2003,345,0,0
507,2003,0,0,0
508,2003,0,0,0
509,2003,690,0,0
510,2003,0,0,0
511,2003,0,0,0
512,2003,0,0,0
513,2003,455,0,0
514,2003,0,0,0
515,2003,435,0,0
516,2003,0,0,0
517,2003,0,0,0
518,2003,0,0,0
519,2003,0,0,0
520,2003,495,0,0
521,2003,420,0,0
522,2003,0,0,0
523,2003,510,0,0
524,2003,0,0,0
525,2003,120,0,0
526,2003,452,0,0
527,2003,0,0,0
528,2003,0,0,0
529,2003,0,0,0
530,2003,0,0,0
531,2003,15,0,22
532,2003,0,0,0
533,2003,0,0,0
534,2003,0,0,0
535,2003,0,0,0
536,2003,0,0,0
537,2003,0,0,0
538,2003,0,0,0
539,2003,270,0,0
540,2003,721,0,0
541,2003,0,0,0
542,2003,800,0,0
543,2003,510,0,0
544,2003,400,0,0
545,2003,540,0,0
546,2003,0,0,0
547,2003,0,0,0
548,2003,0,0,0
549,2003,370,0,0
550,2003,365,0,0
551,2003,0,0,0
552,2003,0,0,0
553,2003,0,0,0
554,2003,0,0,0
555,2003,0,0,0
556,2003,0,0,0
557,2003,0,0,0
558,2003,0,0,0
559,2003,0,0,0
560,2003,0,0,0
561,2003,0,0,0
562,2003,0,0,0
563,2003,365,0,0
564,2003,680,0,0
565,2003,495,0,0
566,2003,0,0,0
567,2003,0,0,0
568,2003,0,0,0
569,2003,0,0,0
570,2003,0,0,0
571,2003,0,0,0
572,2003,0,0,0
573,2003,215,0,0
574,2003,352,0,0
575,2003,0,0,0
576,2003,135,0,0
577,2003,0,0,0
578,2003,0,0,0
579,2003,0,0,0
580,2003,0,0,0
581,2003,470,0,0
582,2003,280,0,0
583,2003,0,0,0
584,2003,0,0,0
585,2003,0,0,0
586,2003,0,0,0
587,2003,0,0,0
588,2003,0,0,0
589,2003,315,0,0
590,2003,585,0,0
591,2003,600,0,0
592,2003,0,0,0
593,2003,0,0,0
594,2003,0,0,0
595,2003,0,0,0
596,2003,0,0,0
597,2003,615,0,0
598,2003,0,0,0
599,2003,0,0,0
600,2003,0,0,0
601,2003,0,0,0
602,2003,0,0,0
603,2003,0,0,0
604,2003,0,0,0
605,2003,575,0,0
606,2003,485,0,0
607,2003,0,0,0
608,2003,0,0,0
609,2003,285,0,0
610,2003,0,0,0
611,2003,0,0,0
612,2003,0,0,0
613,2003,0,0,0
614,2003,640,0,0
615,2003,465,0,0
616,2003,0,0,0
617,2003,460,0,0
618,2003,525,0,0
619,2003,150,0,0
620,2003,510,0,0
621,2003,361,0,0
622,2003,465,0,0
623,2003,0,0,0
624,2003,0,0,0
625,2003,0,0,0
626,2003,0,0,0
627,2003,0,0,0
628,2003,0,0,0
629,2003,0,0,0
630,2003,0,0,0
631,2003,0,0,0
632,2003,0,0,0
633,2003,445,0,0
634,2003,400,0,0
635,2003,455,0,0
636,2003,0,0,0
637,2003,507,0,0
638,2003,0,0,0
639,2003,0,0,0
640,2003,0,0,0
641,2003,555,0,0
642,2003,0,0,0
643,2003,450,0,0
644,2003,0,0,0
645,2003,0,0,0
646,2003,0,0,0
647,2003,0,0,0
648,2003,0,0,0
649,2003,0,0,0
650,2003,0,0,0
651,2003,0,0,0
652,2003,705,0,0
653,2003,489,0,0
654,2003,0,0,0
655,2003,0,0,0
656,2003,0,0,0
657,2003,480,0,0
658,2003,0,0,0
659,2003,0,0,0
660,2003,0,0,0
661,2003,0,0,0
662,2003,0,0,0
663,2003,0,0,0
664,2003,0,0,0
665,2003,0,0,0
666,2003,0,0,0
667,2003,600,0,0
668,2003,120,0,0
669,2003,0,0,0
670,2003,365,0,0
671,2003,0,0,0
672,2003,0,0,245
673,2003,0,0,0
674,2003,0,0,0
675,2003,370,0,0
676,2003,0,0,0
677,2003,0,0,0
678,2003,465,0,0
679,2003,515,0,0
680,2003,0,0,0
681,2003,490,0,0
682,2003,0,0,0
683,2003,660,0,0
684,2003,575,0,0
685,2003,724,0,0
686,2003,0,0,0
687,2003,485,0,0
688,2003,165,0,0
689,2003,0,0,0
690,2003,0,0,0
691,2003,0,0,0
692,2003,0,0,0
693,2003,0,0,0
694,2003,615,0,0
695,2003,0,0,0
696,2003,0,0,0
697,2003,0,0,0
698,2003,0,0,0
699,2003,530,0,0
700,2003,0,0,0
701,2003,0,0,0
702,2003,360,0,0
703,2003,634,0,0
704,2003,0,0,0
705,2003,545,0,0
706,2003,0,0,0
707,2003,480,0,0
708,2003,0,0,0
709,2003,0,0,0
710,2003,0,0,0
711,2003,0,0,0
712,2003,0,0,0
713,2003,444,0,0
714,2003,0,0,0
715,2003,0,0,0
716,2003,0,0,0
717,2003,0,0,0
718,2003,0,0,0
719,2003,0,0,0
720,2003,225,0,0
721,2003,0,0,0
722,2003,0,0,0
723,2003,545,0,0
724,2003,0,0,0
725,2003,0,0,0
726,2003,415,0,0
727,2003,0,0,0
728,2003,0,0,0
729,2003,0,0,0
730,2003,500,0,0
731,2003,80,0,0
732,2003,0,0,0
733,2003,455,0,0
734,2003,630,0,0
735,2003,415,0,0
736,2003,0,0,0
737,2003,0,0,0
738,2003,0,0,0
739,2003,0,0,0
740,2003,480,0,0
741,2003,535,0,0
742,2003,615,0,0
743,2003,485,0,0
744,2003,516,0,0
745,2003,0,0,0
746,2003,498,0,0
747,2003,0,0,0
748,2003,0,0,0
749,2003,473,0,0
750,2003,0,0,0
751,2003,0,0,0
752,2003,0,0,0
753,2003,0,0,0
754,2003,0,0,0
755,2003,120,0,0
756,2003,285,0,0
757,2003,0,0,0
758,2003,0,0,0
759,2003,0,0,0
760,2003,470,0,0
761,2003,0,0,0
762,2003,0,0,0
763,2003,0,0,0
764,2003,465,0,0
765,2003,0,0,0
766,2003,0,0,0
767,2003,0,0,0
768,2003,0,0,0
769,2003,0,0,0
770,2003,0,0,0
771,2003,0,0,0
772,2003,0,0,0
773,2003,510,0,0
774,2003,0,0,0
775,2003,0,0,0
776,2003,180,0,0
777,2003,0,0,0
778,2003,0,0,0
779,2003,0,0,0
780,2003,0,0,0
781,2003,0,0,0
782,2003,0,0,0
783,2003,555,0,0
784,2003,0,0,0
785,2003,0,0,0
786,2003,0,0,0
787,2003,0,0,0
788,2003,0,0,0
789,2003,0,0,0
790,2003,0,0,0
791,2003,480,0,0
792,2003,0,0,0
793,2003,0,0,0
794,2003,513,0,0
795,2003,492,0,0
796,2003,0,0,0
797,2003,575,0,0
798,2003,365,0,0
799,2003,450,0,0
800,2003,820,0,0
801,2003,250,0,0
802,2003,540,0,0
803,2003,0,0,0
804,2003,0,0,0
805,2003,0,0,0
806,2003,0,0,0
807,2003,0,0,0
808,2003,0,0,0
809,2003,625,0,0
810,2003,410,0,0
811,2003,0,0,0
812,2003,0,0,0
813,2003,0,0,0
814,2003,0,0,0
815,2003,0,0,0
816,2003,0,0,0
817,2003,0,0,0
818,2003,0,0,0
819,2003,0,0,0
820,2003,0,0,0
821,2003,0,0,10
822,2003,585,0,0
823,2003,0,0,0
824,2003,0,0,0
825,2003,0,0,0
826,2003,535,0,0
827,2003,0,0,0
828,2003,0,0,0
829,2003,0,0,0
830,2003,0,0,0
831,2003,0,0,0
832,2003,225,0,0
833,2003,0,0,0
834,2003,0,0,0
835,2003,0,0,0
836,2003,0,0,0
837,2003,0,0,0
838,2003,0,0,0
839,2003,0,0,0
840,2003,0,0,0
841,2003,0,0,0
842,2003,0,0,0
843,2003,0,0,0
844,2003,557,0,0
845,2003,0,0,0
846,2003,0,0,0
847,2003,350,0,0
848,2003,135,0,0
849,2003,0,0,0
850,2003,580,0,0
851,2003,510,0,0
852,2003,0,0,0
853,2003,0,0,0
854,2003,830,0,0
855,2003,0,0,0
856,2003,167,0,0
857,2003,0,0,0
858,2003,473,0,0
859,2003,0,0,0
860,2003,0,0,0
861,2003,0,0,0
862,2003,443,0,0
863,2003,0,0,0
864,2003,241,0,0
865,2003,0,0,0
866,2003,0,0,0
867,2003,390,0,0
868,2003,90,0,0
869,2003,430,0,0
870,2003,0,0,0
871,2003,0,0,0
872,2003,570,0,0
873,2003,390,0,0
874,2003,0,0,0
875,2003,0,0,0
876,2003,435,0,0
877,2003,185,0,0
878,2003,0,0,0
879,2003,0,0,0
880,2003,440,0,0
881,2003,0,0,0
882,2003,0,0,0
883,2003,450,0,0
884,2003,0,0,0
885,2003,465,0,0
886,2003,180,0,0
887,2003,435,0,0
888,2003,0,0,0
889,2003,0,0,0
890,2003,0,0,0
891,2003,0,0,0
892,2003,454,0,0
893,2003,0,0,180
894,2003,520,0,0
895,2003,0,0,0
896,2003,0,0,0
897,2003,479,0,0
898,2003,466,0,0
899,2003,0,0,0
900,2003,0,0,0
901,2003,0,0,0
902,2003,518,0,0
903,2003,0,0,0
904,2003,0,0,0
905,2003,5,0,0
906,2003,330,0,0
907,2003,613,0,0
908,2003,0,0,0
909,2003,0,0,0
910,2003,0,0,0
911,2003,420,0,0
912,2003,434,0,0
913,2003,460,0,0
914,2003,0,0,0
915,2003,0,0,0
916,2003,0,0,0
917,2003,0,0,0
918,2003,0,0,0
919,2003,465,0,0
920,2003,0,0,0
921,2003,0,0,0
922,2003,665,0,0
923,2003,0,0,0
924,2003,0,0,0
925,2003,575,0,0
926,2003,0,0,0
927,2003,10,0,0
928,2003,0,0,0
929,2003,0,0,0
930,2003,490,0,0
931,2003,483,0,0
932,2003,0,0,0
933,2003,0,0,0
934,2003,0,0,0
935,2003,0,0,0
936,2003,540,0,0
937,2003,0,0,0
938,2003,0,0,0
939,2003,0,0,0
940,2003,0,0,0
941,2003,0,0,0
942,2003,0,0,0
943,2003,0,0,0
944,2003,470,0,0
945,2003,240,0,0
946,2003,0,0,0
947,2003,493,0,0
948,2003,0,0,0
949,2003,0,0,0
950,2003,389,0,0
951,2003,0,0,0
952,2003,0,0,0
953,2003,0,0,0
954,2003,0,0,0
955,2003,0,0,0
956,2003,0,0,0
957,2003,630,0,0
958,2003,0,0,0
959,2003,0,0,0
960,2003,0,0,0
961,2003,0,0,0
962,2003,0,0,0
963,2003,485,0,0
964,2003,0,0,0
965,2003,930,0,0
966,2003,458,0,0
967,2003,0,0,0
968,2003,565,0,0
969,2003,450,0,0
970,2003,0,0,0
971,2003,0,0,0
972,2003,0,0,0
973,2003,0,0,0
974,2003,0,0,0
975,2003,0,0,0
976,2003,680,0,0
977,2003,459,0,0
978,2003,300,0,0
979,2003,450,0,0
980,2003,0,0,0
981,2003,0,0,0
982,2003,480,0,0
983,2003,0,0,0
984,2003,0,0,0
985,2003,0,0,0
986,2003,0,0,0
987,2003,0,0,0
988,2003,90,0,0
989,2003,380,0,0
990,2003,0,0,0
991,2003,0,0,0
992,2003,0,4,0
993,2003,345,0,0
994,2003,0,0,0
995,2003,0,0,0
996,2003,531,0,0
997,2003,486,0,0
998,2003,0,0,0
999,2003,0,0,0
1000,2003,355,0,0
1001,2003,460,0,0
1002,2003,0,0,0
1003,2003,441,0,0
1004,2003,0,0,0
1005,2003,573,0,0
1006,2003,300,0,0
1007,2003,425,0,0
1008,2003,585,0,0
1009,2003,0,0,0
1010,2003,540,0,0
1011,2003,120,0,0
1012,2003,0,0,0
1013,2003,0,0,0
1014,2003,465,0,0
1015,2003,0,0,0
1016,2003,15,0,0
1017,2003,450,0,0
1018,2003,0,0,0
1019,2003,0,0,0
1020,2003,0,0,0
1021,2003,0,0,0
1022,2003,0,0,0
1023,2003,0,0,90
1024,2003,0,0,0
1025,2003,0,0,90
1026,2003,0,0,0
1027,2003,575,0,0
1028,2003,0,0,0
1029,2003,0,0,0
1030,2003,0,0,0
1031,2003,0,0,0
1032,2003,0,0,0
1033,2003,0,0,0
1034,2003,625,0,0
1035,2003,617,0,0
1036,2003,0,0,0
1037,2003,0,0,0
1038,2003,0,0,0
1039,2003,0,0,0
1040,2003,0,0,0
1041,2003,500,0,0
1042,2003,125,0,0
1043,2003,0,0,0
1044,2003,435,0,0
1045,2003,0,0,0
1046,2003,545,0,0
1047,2003,0,0,0
1048,2003,150,0,0
1049,2003,410,0,0
1050,2003,380,0,0
1051,2003,0,0,0
1052,2003,320,0,0
1053,2003,0,0,0
1054,2003,257,0,0
1055,2003,688,0,0
1056,2003,0,0,0
1057,2003,0,0,0
1058,2003,0,0,0
1059,2003,0,0,0
1060,2003,0,0,0
1061,2003,60,0,0
1062,2003,0,0,0
1063,2003,440,0,0
1064,2003,0,0,0
1065,2003,0,0,0
1066,2003,0,0,0
1067,2003,0,0,0
1068,2003,0,0,0
1069,2003,30,0,0
1070,2003,0,0,0
1071,2003,638,0,0
1072,2003,90,0,0
1073,2003,795,0,0
1074,2003,105,0,0
1075,2003,0,0,0
1076,2003,0,0,0
1077,2003,175,0,0
1078,2003,0,0,0
1079,2003,15,0,0
1080,2003,0,0,0
1081,2003,45,75,0
1082,2003,794,0,0
1083,2003,0,0,0
1084,2003,522,0,0
1085,2003,0,0,0
1086,2003,0,0,0
1087,2003,0,0,0
1088,2003,0,0,0
1089,2003,0,0,0
1090,2003,0,0,0
1091,2003,0,0,0
1092,2003,0,0,0
1093,2003,135,0,0
1094,2003,0,0,0
1095,2003,541,0,0
1096,2003,0,0,0
1097,2003,300,0,0
1098,2003,0,0,0
1099,2003,0,0,0
1100,2003,0,0,0
1101,2003,5,0,0
1102,2003,535,0,0
1103,2003,0,0,0
1104,2003,0,0,0
1105,2003,0,0,0
1106,2003,0,0,0
1107,2003,0,0,0
1108,2003,0,0,0
1109,2003,0,0,0
1110,2003,0,0,0
1111,2003,0,0,0
1112,2003,0,0,0
1113,2003,0,0,0
1114,2003,130,0,0
1115,2003,165,0,0
1116,2003,0,0,0
1117,2003,755,0,0
1118,2003,0,0,0
1119,2003,15,0,0
1120,2003,0,0,0
1121,2003,0,0,0
1122,2003,765,0,0
1123,2003,475,0,0
1124,2003,10,0,0
1125,2003,660,0,0
1126,2003,0,0,0
1127,2003,0,0,0
1128,2003,0,0,0
1129,2003,0,0,0
1130,2003,0,0,0
1131,2003,0,0,0
1132,2003,0,0,0
1133,2003,0,0,0
1134,2003,0,0,0
1135,2003,0,0,0
1136,2003,0,0,0
1137,2003,620,0,0
1138,2003,0,0,0
1139,2003,61,0,0
1140,2003,505,0,0
1141,2003,630,0,0
1142,2003,600,0,0
1143,2003,60,0,0
1144,2003,0,0,0
1145,2003,490,0,0
1146,2003,0,0,0
1147,2003,0,0,0
1148,2003,0,0,0
1149,2003,0,0,0
1150,2003,495,0,0
1151,2003,375,0,0
1152,2003,0,0,0
1153,2003,790,0,0
1154,2003,0,0,0
1155,2003,0,0,0
1156,2003,0,0,0
1157,2003,1035,0,0
1158,2003,0,0,0
1159,2003,0,0,0
1160,2003,0,0,0
1161,2003,0,0,0
1162,2003,445,0,0
1163,2003,0,0,0
1164,2003,0,0,0
1165,2003,0,0,0
1166,2003,635,0,0
1167,2003,393,0,0
1168,2003,465,0,0
1169,2003,0,0,0
1170,2003,666,0,0
1171,2003,390,0,0
1172,2003,45,0,0
1173,2003,0,0,0
1174,2003,0,0,0
1175,2003,405,0,0
1176,2003,0,0,0
1177,2003,60,0,0
1178,2003,500,0,0
1179,2003,0,0,0
1180,2003,0,0,0
1181,2003,0,0,0
1182,2003,529,0,0
1183,2003,585,0,0
1184,2003,470,0,0
1185,2003,718,0,0
1186,2003,0,0,0
1187,2003,0,0,0
1188,2003,0,0,0
1189,2003,60,0,0
1190,2003,0,0,0
1191,2003,0,0,0
1192,2003,0,0,0
1193,2003,0,0,0
1194,2003,505,0,0
1195,2003,205,0,0
1196,2003,0,0,0
1197,2003,0,0,0
1198,2003,0,0,0
1199,2003,0,0,0
1200,2003,0,0,0
1201,2003,0,0,0
1202,2003,0,0,0
1203,2003,0,0,0
1204,2003,715,0,0
1205,2003,0,0,0
1206,2003,526,0,0
1207,2003,0,0,0
1208,2003,412,0,0
1209,2003,960,0,0
1210,2003,585,0,0
1211,2003,0,0,0
1212,2003,0,0,0
1213,2003,480,0,0
1214,2003,395,0,0
1215,2003,0,0,0
1216,2003,0,0,0
1217,2003,0,0,0
1218,2003,0,0,0
1219,2003,0,0,0
1220,2003,0,0,0
1221,2003,0,0,0
1222,2003,0,0,0
1223,2003,0,0,0
1224,2003,454,0,0
1225,2003,0,0,0
1226,2003,0,0,0
1227,2003,525,0,0
1228,2003,0,0,0
1229,2003,0,0,0
1230,2003,500,0,0
1231,2003,0,0,0
1232,2003,0,0,0
1233,2003,0,0,0
1234,2003,0,0,0
1235,2003,0,0,0
1236,2003,536,0,0
1237,2003,0,0,0
1238,2003,0,0,0
1239,2003,450,0,0
1240,2003,500,0,0
1241,2003,0,0,0
1242,2003,0,0,0
1243,2003,340,0,0
