TRCHILDNUM,Caring for HH children,Housework,Grocery shopping
4,90,0,0
0,0,0,60
0,0,150,30
3,150,0,0
3,0,0,0
0,0,120,0
0,0,255,0
0,0,35,0
0,0,0,0
1,15,0,0
2,0,0,0
0,0,0,0
2,195,10,30
0,0,0,90
3,160,15,0
0,0,0,0
2,20,0,15
1,90,330,0
2,0,60,0
0,0,110,0
2,0,0,0
1,0,0,0
0,0,0,0
3,95,30,0
0,0,30,0
1,0,0,0
2,90,45,0
0,0,45,0
0,0,0,0
1,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
2,300,0,0
0,0,325,0
1,50,0,0
0,0,0,0
0,0,25,50
2,0,0,0
2,200,150,0
0,0,0,0
0,0,0,0
3,75,0,30
1,0,0,0
1,0,150,0
3,0,120,0
1,0,102,0
4,0,60,0
2,70,90,30
1,45,0,0
0,0,12,0
3,691,70,0
0,0,0,45
0,0,30,0
0,0,45,0
1,0,0,0
0,0,0,0
0,0,248,0
0,0,90,0
0,0,120,0
2,30,0,120
0,0,0,0
1,0,0,0
0,0,60,0
1,0,150,20
1,0,0,0
3,200,375,35
4,60,0,0
2,175,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2,0,0,0
3,105,0,0
0,0,0,0
0,0,105,0
1,165,30,0
1,90,0,0
0,0,205,60
2,145,0,0
0,0,40,0
3,90,65,15
1,55,45,18
3,0,0,0
0,0,0,0
2,85,0,0
1,120,0,0
0,0,0,0
2,60,5,60
5,110,0,0
2,160,45,0
2,0,60,0
0,0,0,0
0,0,0,0
1,0,0,0
1,0,0,60
0,0,60,0
1,17,0,0
1,180,0,0
0,0,0,0
0,0,0,0
0,0,0,30
0,0,120,0
3,0,0,0
0,0,0,0
0,0,0,10
3,215,255,0
3,135,30,105
1,5,0,0
3,150,150,0
1,11,3,90
0,0,0,0
0,0,30,0
1,50,90,0
0,0,0,0
0,0,30,20
0,0,75,0
2,39,0,0
3,60,60,120
0,0,120,0
0,0,0,0
3,180,85,0
0,0,0,0
3,0,0,0
1,110,15,0
0,0,15,0
0,0,60,30
0,0,120,0
0,0,0,0
0,0,0,45
3,0,0,0
3,80,150,0
0,0,15,0
1,0,20,0
5,0,0,0
2,15,0,0
2,20,220,25
0,0,0,0
2,245,50,40
1,0,75,0
2,0,0,0
1,6,0,0
2,0,0,0
0,0,0,0
1,0,0,0
1,104,0,0
0,0,0,0
0,0,15,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,15,0
1,0,0,0
1,0,0,0
0,0,0,0
2,155,0,0
0,0,0,0
0,0,60,0
0,0,0,20
3,0,0,0
2,0,0,0
1,0,0,0
2,66,0,0
1,15,0,0
0,0,95,0
0,0,0,0
1,67,0,0
3,30,90,0
2,60,0,0
1,0,295,0
1,0,0,0
3,120,60,30
1,65,70,0
0,0,0,0
1,195,0,0
1,0,0,0
3,15,0,0
0,0,160,60
3,0,20,0
0,0,0,0
1,100,0,0
2,0,0,60
3,0,0,0
0,0,10,30
4,0,0,0
1,102,50,0
4,30,20,0
4,90,120,120
0,0,195,80
0,0,12,35
0,0,180,30
2,0,0,160
1,0,0,0
0,0,0,0
1,0,0,0
0,0,15,210
0,0,30,0
0,0,20,0
0,0,240,0
3,0,0,0
0,0,0,30
0,0,0,0
1,0,0,0
3,0,64,45
2,60,10,0
2,395,0,0
0,0,0,0
4,0,30,0
2,55,0,0
0,0,0,0
0,0,60,0
3,0,60,0
3,60,560,0
0,0,0,0
0,0,0,0
0,0,60,0
1,0,0,0
1,20,0,30
1,0,0,5
0,0,15,40
0,0,0,0
2,130,60,0
0,0,40,0
0,0,0,0
0,0,0,0
0,0,15,0
0,0,0,0
1,0,0,0
1,0,0,0
2,130,45,30
2,0,0,0
0,0,0,0
3,0,20,0
2,135,5,175
4,80,0,0
0,0,0,0
0,0,0,60
0,0,0,0
1,307,110,2
4,12,60,0
0,0,55,45
0,0,0,0
0,0,0,0
0,0,0,0
3,10,0,0
2,60,0,0
0,0,0,0
3,0,0,0
2,44,0,0
3,0,0,0
2,0,0,0
2,10,0,0
2,0,185,90
3,200,60,30
0,0,0,0
0,0,80,0
0,0,0,0
0,0,0,0
1,0,0,0
1,0,80,0
1,0,60,0
0,0,0,0
2,190,15,0
0,0,0,0
0,0,160,30
0,0,180,0
3,0,0,0
1,0,0,0
1,210,120,0
0,0,0,0
1,0,0,0
1,125,90,0
0,0,0,0
1,286,15,0
0,0,90,0
3,0,32,0
2,230,120,0
0,0,0,0
1,60,0,45
1,0,80,0
1,70,0,0
1,195,0,0
0,0,0,20
4,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,30,25
1,30,80,20
0,0,0,0
0,0,180,0
0,0,0,0
0,0,0,0
2,270,90,0
1,0,250,0
2,85,195,105
1,30,0,0
1,47,65,0
1,20,45,0
0,0,0,0
2,115,177,60
2,0,0,0
2,190,0,0
1,20,120,0
2,23,0,0
0,0,10,0
0,0,0,0
0,0,0,0
0,0,30,0
3,55,0,0
2,0,0,0
0,0,120,0
1,60,5,0
2,210,245,0
2,0,0,0
4,15,35,0
1,0,150,0
1,0,0,0
1,30,0,0
0,0,0,60
1,0,330,30
5,5,0,0
1,140,100,45
0,0,28,0
0,0,0,0
0,0,0,45
0,0,0,0
0,0,40,10
1,100,0,0
0,0,0,20
0,0,0,0
0,0,60,0
0,0,0,0
3,70,20,0
0,0,0,0
3,60,0,0
2,0,0,0
3,41,0,0
0,0,35,75
0,0,0,0
2,0,0,0
2,170,0,0
1,0,0,0
1,0,30,0
0,0,10,0
1,0,10,10
0,0,0,0
0,0,15,10
1,55,0,0
2,0,120,0
0,0,20,30
1,0,15,45
0,0,0,0
2,296,45,0
2,0,60,0
0,0,120,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
2,255,65,120
2,0,0,0
1,0,20,0
2,90,0,15
1,65,175,0
1,0,0,0
0,0,30,0
2,45,50,80
3,125,0,0
0,0,45,0
0,0,0,0
0,0,60,0
0,0,0,0
0,0,0,60
1,0,215,0
1,0,20,0
0,0,0,0
3,0,90,0
2,115,70,0
0,0,0,0
0,0,30,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,180,0
0,0,0,0
1,0,0,0
1,0,10,90
0,0,155,0
2,0,0,0
2,0,15,0
3,0,226,0
2,10,60,45
1,0,0,0
3,0,120,0
0,0,80,0
1,15,20,0
3,90,0,0
0,0,0,0
1,100,0,0
0,0,0,0
2,10,0,30
0,0,0,0
0,0,0,0
1,0,190,0
1,0,0,0
0,0,0,0
2,210,0,0
0,0,0,0
0,0,120,0
