TRCHILDNUM,Caring for HH children,Housework,Grocery shopping
2,210,0,0
3,30,0,0
0,0,80,90
0,0,30,0
0,0,424,0
3,60,20,0
0,0,15,0
0,0,0,0
3,50,120,0
3,22,0,0
0,0,0,120
1,0,0,0
0,0,0,0
2,0,0,0
3,135,0,0
1,230,135,0
0,0,120,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,60,0
0,0,35,0
2,221,0,0
2,185,30,40
0,0,120,0
0,0,60,0
0,0,120,30
1,0,10,90
0,0,0,0
2,90,0,0
0,0,345,90
1,30,15,0
1,0,178,0
0,0,0,0
0,0,0,0
1,225,5,0
0,0,0,0
0,0,15,30
0,0,0,0
0,0,0,0
2,0,45,10
0,0,85,0
1,0,0,0
0,0,15,0
3,200,35,30
0,0,15,0
0,0,0,0
0,0,0,0
1,15,92,0
1,15,75,60
0,0,250,0
0,0,0,30
2,0,0,0
3,330,0,0
1,0,0,0
1,150,0,0
0,0,0,0
0,0,15,0
0,0,145,20
0,0,0,0
3,0,0,0
3,0,0,0
1,0,0,0
2,108,25,20
0,0,390,0
2,60,0,0
1,0,0,0
0,0,38,0
1,0,0,0
0,0,90,0
0,0,30,0
0,0,0,0
0,0,0,0
1,0,5,56
2,30,0,0
1,140,170,30
1,0,0,30
0,0,0,0
0,0,0,0
2,150,270,0
0,0,0,0
0,0,105,0
3,475,60,0
0,0,0,0
0,0,90,0
1,0,0,0
0,0,0,0
3,0,0,0
1,0,140,0
0,0,0,0
1,15,70,0
3,426,0,0
1,6,0,0
0,0,0,0
2,30,0,0
0,0,30,30
1,45,0,0
2,0,0,30
1,15,30,0
1,30,60,0
0,0,0,0
0,0,0,0
2,7,130,30
0,0,0,0
1,90,0,10
0,0,0,0
0,0,0,0
0,0,135,15
2,0,0,0
0,0,60,0
0,0,120,0
2,0,0,0
1,60,15,120
2,0,0,0
0,0,0,0
0,0,0,0
0,0,30,0
0,0,0,0
1,60,60,0
0,0,150,0
0,0,70,30
0,0,0,0
0,0,0,0
3,65,111,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
1,0,0,0
2,50,75,0
0,0,0,0
2,497,25,0
0,0,120,0
0,0,390,0
0,0,0,0
0,0,120,30
0,0,70,120
1,135,90,0
0,0,0,0
0,0,0,0
3,0,60,15
0,0,0,0
0,0,0,0
0,0,0,0
0,0,15,45
0,0,45,0
1,0,0,0
0,0,0,0
0,0,0,0
2,2,0,0
1,265,0,0
2,0,15,0
0,0,20,60
0,0,0,0
1,0,0,45
3,210,0,0
0,0,270,0
0,0,90,0
2,0,65,0
3,0,0,0
1,125,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2,115,0,0
1,270,0,0
2,120,0,0
0,0,0,0
0,0,0,0
2,60,0,30
0,0,0,0
2,80,10,0
2,281,65,0
0,0,30,0
0,0,0,0
0,0,0,0
3,25,0,0
0,0,130,0
2,60,60,0
0,0,15,30
2,0,0,0
0,0,0,0
0,0,60,0
0,0,120,0
7,60,360,0
0,0,0,0
0,0,0,0
0,0,0,0
2,0,180,0
4,30,0,0
3,0,0,0
1,170,195,0
0,0,0,0
0,0,0,0
2,0,0,0
0,0,0,0
1,0,15,0
3,0,0,0
4,0,0,0
1,0,0,0
0,0,0,0
2,10,65,0
1,0,0,0
2,272,35,0
1,20,0,0
4,5,0,0
5,0,0,0
0,0,0,0
1,5,20,0
0,0,0,0
0,0,120,0
2,0,0,0
0,0,275,0
2,15,0,0
0,0,0,0
1,10,100,0
0,0,0,0
0,0,25,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,80,0
0,0,0,0
1,119,110,0
2,0,330,120
0,0,0,0
2,60,0,0
2,130,0,0
0,0,0,0
1,0,240,0
1,45,0,0
3,35,0,0
0,0,0,0
0,0,0,0
2,73,0,0
0,0,0,0
0,0,120,0
0,0,0,0
0,0,0,0
2,204,269,0
0,0,0,0
0,0,0,20
1,0,0,0
0,0,0,0
0,0,0,15
0,0,0,0
0,0,0,0
0,0,15,20
2,0,45,0
4,0,0,0
0,0,65,60
5,120,0,0
0,0,0,0
0,0,0,0
0,0,5,0
3,0,0,0
0,0,30,0
0,0,480,0
0,0,0,0
0,0,0,0
1,0,30,60
0,0,0,0
4,20,0,0
1,0,0,0
0,0,0,0
0,0,0,0
1,45,0,0
0,0,0,0
0,0,0,0
1,0,0,0
1,96,0,0
0,0,0,0
5,300,0,0
0,0,0,0
3,120,0,0
1,0,0,0
4,195,210,0
0,0,180,0
1,0,65,0
3,21,0,0
0,0,0,0
2,0,0,0
1,85,150,55
0,0,0,0
2,90,150,60
0,0,0,0
3,30,15,0
0,0,0,0
0,0,0,0
0,0,205,0
0,0,0,0
0,0,40,0
0,0,0,0
0,0,15,0
0,0,40,0
0,0,0,0
0,0,90,0
0,0,45,0
1,30,0,0
0,0,198,60
1,0,15,0
0,0,30,90
0,0,15,0
1,185,0,0
0,0,0,0
1,187,95,0
0,0,0,0
3,920,120,0
2,40,0,0
1,90,0,0
0,0,144,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
4,100,115,0
1,30,0,0
0,0,0,0
2,160,45,0
0,0,0,20
0,0,20,25
0,0,40,60
2,160,60,60
0,0,180,0
0,0,15,0
1,80,0,0
0,0,0,0
1,60,0,0
0,0,0,0
0,0,0,0
0,0,20,0
0,0,0,0
0,0,75,0
1,0,60,0
0,0,0,0
0,0,0,0
2,0,0,0
0,0,0,0
0,0,45,90
0,0,45,0
0,0,5,0
0,0,0,0
2,73,30,120
0,0,0,0
0,0,90,0
1,0,20,60
0,0,150,0
2,308,20,60
2,105,0,0
2,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,195,0
1,0,120,0
1,125,0,0
1,0,30,30
0,0,0,0
0,0,60,0
0,0,60,0
0,0,50,10
0,0,51,0
0,0,30,0
2,5,10,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,121,0,0
0,0,0,0
1,0,58,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2,4,0,0
3,60,0,0
0,0,0,0
0,0,0,0
2,0,0,0
0,0,310,0
3,0,0,0
0,0,0,45
1,11,25,0
0,0,190,30
2,85,0,0
0,0,105,0
0,0,0,5
1,190,15,70
3,0,90,0
0,0,90,0
2,50,80,60
0,0,0,0
0,0,0,0
0,0,0,0
3,0,0,0
1,0,0,0
2,5,195,60
2,0,0,0
0,0,60,0
1,90,120,0
0,0,0,0
1,0,0,0
0,0,60,0
0,0,60,0
0,0,0,0
0,0,0,15
2,525,105,30
0,0,0,0
2,35,10,0
2,0,0,0
0,0,0,10
2,0,0,0
0,0,0,0
4,30,0,0
0,0,0,0
6,320,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,50,0
2,30,0,15
2,330,0,0
0,0,30,0
0,0,0,0
1,0,0,0
3,75,0,0
2,30,20,0
0,0,570,0
1,0,20,0
0,0,0,0
1,5,0,0
1,0,0,0
1,150,0,0
2,90,30,0
2,127,0,0
2,210,0,30
1,380,30,0
0,0,0,0
0,0,0,0
2,12,0,0
0,0,0,0
0,0,0,0
1,30,175,60
0,0,0,0
1,0,45,0
2,30,90,45
6,0,0,0
2,0,0,0
2,0,0,0
2,2,0,0
0,0,0,0
3,150,0,0
0,0,0,0
1,2,0,0
0,0,0,0
0,0,0,0
3,0,0,0
2,14,0,20
0,0,0,0
2,0,140,0
2,90,0,0
0,0,0,0
1,15,0,0
1,0,0,0
2,80,90,0
1,76,0,0
2,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,10,50
1,0,1,30
1,0,0,0
2,150,10,0
1,135,0,0
4,0,0,5
0,0,70,30
3,90,0,0
0,0,0,0
1,0,0,0
0,0,210,0
1,0,0,0
0,0,0,0
1,0,0,0
2,10,0,0
4,90,0,0
0,0,120,0
1,82,0,30
0,0,0,0
2,0,0,0
3,0,0,0
0,0,0,30
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
2,0,120,5
2,145,148,0
0,0,0,0
0,0,0,0
1,90,0,0
2,240,0,0
1,0,0,0
1,0,229,0
3,0,0,0
0,0,0,0
3,0,0,0
1,0,0,0
0,0,20,120
0,0,0,0
1,75,195,15
3,0,0,0
0,0,25,40
0,0,0,0
0,0,80,0
0,0,0,0
0,0,0,0
3,50,10,60
0,0,0,0
0,0,20,20
0,0,60,0
2,0,30,0
5,75,75,60
0,0,0,0
3,176,45,10
0,0,0,0
0,0,0,0
1,240,0,0
0,0,0,0
0,0,0,10
2,0,5,0
3,80,35,0
0,0,0,0
4,0,90,0
0,0,0,0
0,0,60,180
1,90,22,30
0,0,0,0
3,5,0,60
3,100,0,0
1,0,246,60
1,0,0,0
2,85,0,0
0,0,0,0
4,70,153,90
2,0,30,0
5,420,0,0
2,5,0,0
0,0,0,0
2,255,60,0
0,0,5,10
0,0,0,10
1,0,0,0
0,0,0,0
0,0,0,0
2,0,0,0
0,0,2,0
0,0,0,0
2,60,0,0
0,0,280,30
2,180,20,10
0,0,0,0
2,0,15,0
0,0,0,0
0,0,0,0
0,0,0,0
4,90,30,0
1,0,15,0
0,0,20,0
0,0,0,0
0,0,0,0
0,0,95,0
0,0,0,60
0,0,390,0
0,0,0,0
4,50,360,0
0,0,0,15
0,0,20,60
1,0,80,0
0,0,210,75
1,10,105,0
1,0,0,0
0,0,117,0
1,360,20,0
2,105,10,0
0,0,0,0
0,0,108,0
0,0,0,0
0,0,0,0
0,0,0,0
1,180,0,0
0,0,0,0
0,0,10,20
2,0,180,0
1,30,0,0
0,0,0,0
1,0,0,0
0,0,90,30
4,0,0,0
1,15,420,0
1,0,0,0
0,0,0,0
1,120,0,0
0,0,0,0
2,240,0,0
3,0,0,0
0,0,0,0
0,0,150,0
2,130,0,0
2,490,165,0
0,0,60,0
2,7,0,0
2,0,0,0
3,0,90,0
0,0,0,0
4,0,0,0
2,91,260,55
0,0,10,5
0,0,0,0
0,0,15,0
0,0,0,0
0,0,0,0
0,0,75,30
3,5,0,40
1,5,65,40
0,0,0,0
1,80,30,0
3,240,0,45
0,0,0,0
0,0,120,0
0,0,0,0
0,0,0,0
1,65,30,30
0,0,190,0
1,10,60,0
0,0,0,30
1,115,20,0
0,0,0,0
2,45,45,0
0,0,0,25
0,0,0,20
2,90,0,0
2,91,295,0
2,12,15,45
1,0,0,0
1,45,220,30
0,0,90,0
0,0,260,0
0,0,0,0
0,0,60,5
2,0,60,0
1,0,0,0
1,0,0,25
0,0,120,0
1,0,0,0
2,0,0,0
1,0,0,0
3,60,0,0
3,31,30,0
0,0,0,25
0,0,30,0
0,0,120,45
1,0,0,0
0,0,35,0
2,145,15,90
1,0,15,0
3,0,0,0
1,0,680,0
0,0,225,0
0,0,0,0
1,5,30,0
2,6,359,45
0,0,120,0
0,0,0,120
2,140,240,0
0,0,225,10
0,0,0,0
0,0,0,60
0,0,60,0
2,420,70,58
0,0,45,0
3,133,0,0
0,0,0,0
0,0,60,60
1,300,160,90
0,0,300,0
2,0,0,0
0,0,105,0
0,0,93,0
0,0,0,0
2,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,150,0
2,105,130,0
2,70,0,0
0,0,0,0
0,0,18,0
3,15,0,0
1,105,85,20
0,0,0,60
2,0,45,0
1,0,0,30
0,0,15,45
0,0,60,0
0,0,0,0
1,168,0,0
0,0,30,0
0,0,0,0
0,0,60,0
1,0,0,0
1,3,120,0
3,90,0,0
0,0,0,0
0,0,0,0
0,0,60,0
2,0,0,60
1,110,0,0
0,0,0,0
0,0,0,20
0,0,180,0
0,0,0,0
0,0,75,0
0,0,0,0
0,0,195,0
1,0,0,0
4,0,5,0
0,0,0,0
0,0,0,15
2,145,0,0
0,0,0,0
0,0,395,0
0,0,0,0
0,0,0,0
2,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,60,0
2,0,0,0
0,0,0,0
0,0,270,0
3,15,20,0
0,0,0,0
1,0,0,0
4,35,180,0
0,0,0,0
3,0,10,0
1,61,90,0
0,0,35,0
3,60,135,60
0,0,0,0
2,65,30,0
0,0,0,0
1,0,60,0
0,0,0,0
0,0,90,0
0,0,155,0
0,0,30,45
1,0,0,0
4,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,10,100,0
2,30,155,0
0,0,0,0
0,0,60,10
2,0,0,0
0,0,5,60
0,0,0,0
0,0,45,20
1,0,0,0
0,0,25,0
0,0,0,0
3,60,0,0
3,220,76,0
3,90,120,0
0,0,405,0
0,0,120,15
2,0,0,0
0,0,0,0
0,0,0,0
0,0,0,30
0,0,20,0
0,0,0,0
0,0,20,5
2,80,0,0
1,0,0,0
3,254,20,5
2,105,115,0
0,0,0,0
0,0,35,0
0,0,0,0
3,0,0,0
2,0,0,25
2,20,0,0
2,0,0,0
2,55,0,0
2,0,0,0
2,100,145,90
0,0,45,0
0,0,44,0
1,200,0,0
0,0,5,60
0,0,0,0
1,0,0,0
0,0,60,10
0,0,120,0
1,0,0,0
0,0,30,0
1,50,0,0
1,0,0,0
0,0,0,0
2,0,240,0
2,120,355,0
3,0,0,10
0,0,0,0
2,46,25,0
0,0,145,30
0,0,0,40
1,0,0,0
0,0,60,0
2,370,0,0
0,0,45,0
1,0,60,0
0,0,30,0
1,4,0,0
2,0,120,0
0,0,290,0
2,0,125,90
2,25,10,0
0,0,113,0
0,0,5,0
0,0,45,0
3,0,10,0
0,0,0,0
0,0,135,0
1,0,0,0
3,30,0,0
0,0,40,90
2,60,0,0
0,0,0,0
0,0,0,0
0,0,5,0
0,0,0,0
0,0,80,30
0,0,30,0
0,0,0,0
1,0,180,0
0,0,105,0
0,0,50,60
0,0,5,15
2,125,330,0
0,0,0,20
1,0,0,40
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,49,20
1,0,60,0
0,0,0,0
0,0,120,0
0,0,0,0
0,0,0,0
5,70,60,0
0,0,0,0
0,0,0,0
0,0,0,0
2,0,0,0
0,0,0,0
0,0,105,0
0,0,240,0
2,0,0,0
0,0,0,0
1,0,120,0
1,150,0,0
0,0,65,0
0,0,210,0
0,0,0,0
2,10,0,0
1,0,15,0
1,0,0,0
0,0,0,0
2,193,130,0
1,0,0,0
0,0,0,0
2,85,35,5
0,0,60,0
0,0,0,0
0,0,5,60
3,0,0,0
0,0,0,0
2,190,0,0
0,0,0,0
2,82,0,0
4,0,0,0
0,0,0,0
4,270,135,0
0,0,10,0
0,0,10,0
0,0,0,0
3,0,60,0
0,0,0,0
0,0,0,0
1,310,0,0
0,0,10,0
0,0,0,20
2,0,0,0
0,0,10,0
0,0,0,0
0,0,45,0
1,0,0,0
0,0,10,30
2,95,575,0
3,240,0,0
2,0,0,0
2,55,40,0
1,2,25,30
1,0,0,0
0,0,0,0
0,0,210,0
0,0,0,0
1,0,0,0
0,0,60,60
0,0,1,0
0,0,120,120
0,0,30,0
4,180,120,0
2,0,0,0
0,0,10,60
1,513,37,0
0,0,0,0
0,0,0,0
0,0,0,0
2,0,0,0
1,0,60,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
3,475,75,0
0,0,150,30
1,0,135,60
1,25,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,60,130,30
1,30,60,0
0,0,0,0
0,0,0,0
0,0,30,0
0,0,30,0
0,0,190,0
1,0,0,0
1,0,0,0
1,67,15,0
0,0,0,0
0,0,0,0
0,0,10,0
0,0,0,0
1,0,0,0
0,0,0,30
3,210,60,0
0,0,10,0
0,0,170,10
0,0,0,0
0,0,0,0
0,0,30,0
1,0,0,0
0,0,210,0
3,175,42,0
1,6,250,0
1,85,60,0
0,0,45,0
2,100,25,0
2,180,330,0
2,120,0,0
0,0,0,0
0,0,0,0
6,190,0,30
1,0,0,0
0,0,0,0
1,59,120,45
0,0,0,0
0,0,0,0
0,0,105,0
2,5,0,0
0,0,0,0
2,0,195,60
0,0,0,0
1,360,0,0
0,0,30,0
0,0,0,0
0,0,5,25
2,37,15,0
0,0,30,60
0,0,0,0
0,0,0,0
0,0,0,0
1,96,0,0
0,0,0,5
1,205,40,0
0,0,340,30
0,0,90,5
2,0,0,0
0,0,15,45
0,0,0,0
0,0,0,0
2,0,0,0
0,0,5,0
0,0,0,0
5,80,0,0
0,0,0,0
2,0,0,0
1,0,150,0
2,70,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,65,55,30
1,1,35,45
0,0,45,40
3,165,310,0
1,0,0,0
2,120,0,0
0,0,0,0
0,0,35,0
0,0,0,0
0,0,10,0
0,0,0,0
0,0,48,45
0,0,0,15
0,0,0,0
1,510,0,0
0,0,195,0
0,0,500,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,10,45
2,30,0,0
0,0,0,0
1,0,20,15
0,0,0,0
0,0,0,0
0,0,0,0
2,0,0,0
1,6,105,15
0,0,120,0
1,0,0,0
0,0,0,0
0,0,0,0
2,0,0,0
1,50,0,0
2,184,0,0
0,0,0,0
0,0,30,0
2,0,0,0
0,0,70,0
2,2,0,0
0,0,0,0
0,0,0,0
1,0,0,0
2,0,30,0
0,0,0,0
0,0,45,0
2,0,0,0
0,0,25,0
2,60,0,0
0,0,0,0
2,10,0,0
0,0,430,0
0,0,30,60
1,65,30,0
0,0,0,0
0,0,0,0
0,0,330,0
0,0,0,0
0,0,30,0
0,0,120,0
1,123,0,30
2,5,0,0
1,0,0,0
0,0,0,0
0,0,120,0
2,0,45,0
2,0,30,70
0,0,135,0
3,2,0,0
0,0,0,0
0,0,0,0
2,120,0,0
3,330,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,30,0
0,0,0,0
0,0,255,0
1,110,0,0
0,0,0,0
0,0,15,0
2,229,0,40
0,0,0,0
0,0,0,0
0,0,0,0
0,0,270,0
0,0,0,0
1,0,90,150
1,0,0,17
0,0,0,0
0,0,0,0
1,65,90,0
0,0,15,60
2,185,0,0
0,0,0,0
2,0,0,0
2,269,75,60
0,0,60,0
0,0,0,0
0,0,22,40
2,184,0,0
0,0,0,60
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,15,0
0,0,35,0
1,0,0,0
0,0,130,0
0,0,0,20
3,0,0,0
2,60,0,0
0,0,0,0
0,0,0,0
1,0,75,45
0,0,0,0
0,0,0,5
0,0,0,0
0,0,0,10
0,0,180,0
0,0,5,30
1,0,0,0
0,0,60,0
1,0,0,0
0,0,45,0
1,146,20,0
1,0,0,0
0,0,0,0
0,0,5,30
1,0,0,0
0,0,0,0
0,0,675,0
0,0,0,0
0,0,0,0
1,120,0,45
1,0,20,45
2,0,0,0
0,0,0,0
1,0,300,0
2,0,15,30
1,2,0,0
0,0,0,0
2,75,5,60
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2,0,0,0
2,0,0,0
1,339,0,10
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
1,120,0,0
0,0,0,0
1,0,15,40
1,0,0,0
0,0,0,0
0,0,0,0
2,0,0,0
2,0,0,0
0,0,0,0
2,0,0,0
2,0,0,0
0,0,0,0
3,90,120,0
2,150,0,15
0,0,120,0
4,10,210,180
0,0,5,0
2,80,215,0
0,0,70,0
0,0,80,75
0,0,180,0
0,0,0,0
2,120,40,0
0,0,0,0
1,0,60,0
3,90,30,0
4,0,0,0
2,0,120,0
1,0,60,0
5,90,0,0
0,0,10,0
1,60,30,0
1,0,60,0
0,0,0,0
0,0,0,0
3,357,45,14
0,0,155,0
0,0,0,0
0,0,15,0
2,79,355,20
0,0,25,0
0,0,0,10
2,10,0,0
0,0,0,0
3,100,0,0
5,0,0,0
0,0,0,15
2,190,150,0
3,240,0,0
0,0,0,0
0,0,0,0
2,70,0,0
2,305,0,0
1,0,0,0
0,0,60,30
0,0,0,0
0,0,0,0
2,230,40,0
0,0,0,0
0,0,0,0
3,526,135,0
0,0,0,0
0,0,45,0
1,30,20,45
2,0,0,0
0,0,0,0
0,0,0,0
2,0,0,0
0,0,180,60
0,0,150,0
1,360,120,0
0,0,20,30
1,0,30,90
0,0,108,0
0,0,35,0
2,245,150,0
1,0,0,0
0,0,0,0
2,175,0,0
0,0,10,0
2,52,0,0
1,46,90,0
0,0,0,0
0,0,0,0
0,0,60,0
0,0,0,0
0,0,15,0
2,195,0,0
0,0,270,0
2,20,85,0
0,0,26,0
2,15,0,0
0,0,0,0
0,0,90,0
0,0,0,0
0,0,0,0
3,165,180,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,180,15
0,0,0,0
1,40,0,0
1,0,60,0
0,0,0,0
0,0,0,0
3,0,0,0
0,0,40,30
0,0,30,45
5,160,120,0
0,0,0,0
0,0,225,45
1,89,180,0
3,105,0,0
3,0,75,170
1,45,0,0
0,0,292,0
0,0,15,0
1,43,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,15,0,0
2,75,60,0
3,30,0,0
2,20,30,0
0,0,60,0
0,0,10,0
2,0,0,0
0,0,180,0
0,0,2,0
0,0,0,0
1,0,195,60
0,0,50,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,30,0,0
0,0,0,0
0,0,270,0
0,0,150,15
0,0,0,0
0,0,0,0
1,0,240,0
2,0,0,0
3,0,0,0
0,0,120,0
2,0,0,0
0,0,50,5
0,0,360,0
0,0,0,0
0,0,0,0
0,0,240,0
2,69,0,0
0,0,75,0
1,0,230,0
1,0,115,0
0,0,35,0
0,0,10,20
3,210,0,5
2,45,210,0
0,0,55,0
0,0,0,0
0,0,435,0
0,0,60,0
0,0,0,8
0,0,0,0
3,0,90,0
0,0,0,0
0,0,0,0
0,0,0,0
2,106,30,30
0,0,120,0
1,4,203,85
0,0,0,0
1,61,0,0
1,0,0,0
0,0,145,45
1,65,20,0
0,0,60,0
0,0,0,0
1,20,0,0
0,0,60,0
1,50,45,0
0,0,30,60
0,0,90,0
2,100,60,0
0,0,0,0
0,0,0,20
2,3,15,0
0,0,0,0
2,10,210,15
2,0,20,0
2,130,0,0
1,0,0,0
1,0,90,0
0,0,90,0
1,61,55,30
3,0,25,120
0,0,0,0
2,45,363,15
2,220,55,60
1,0,150,10
0,0,15,35
1,45,0,0
6,210,190,0
2,120,30,0
0,0,0,0
0,0,0,0
0,0,210,0
2,0,120,0
0,0,33,0
0,0,0,0
2,75,60,0
2,568,100,0
2,309,0,0
0,0,0,0
0,0,15,0
0,0,0,0
0,0,0,0
2,1050,0,0
3,0,120,20
1,0,90,0
1,120,30,0
1,2,0,0
0,0,0,0
1,175,45,0
1,0,0,0
1,70,0,20
0,0,0,0
3,0,0,0
2,0,0,0
0,0,30,30
0,0,0,0
0,0,0,0
0,0,0,0
3,140,20,30
3,0,0,0
3,0,90,0
2,85,0,0
2,0,0,0
1,30,20,45
0,0,0,0
0,0,53,33
0,0,0,0
1,0,0,0
0,0,0,0
2,0,120,0
3,145,0,0
0,0,0,0
2,90,0,0
3,15,90,0
4,5,0,0
1,30,0,0
3,0,0,0
0,0,0,0
1,0,240,0
0,0,0,0
1,30,0,0
0,0,173,20
1,0,0,0
2,90,0,0
3,0,0,0
0,0,0,0
1,0,120,0
0,0,223,0
0,0,100,0
4,370,90,45
0,0,20,0
0,0,0,0
0,0,0,0
2,0,0,0
1,0,330,0
2,405,90,0
0,0,20,45
1,120,0,0
0,0,0,0
0,0,60,60
3,0,20,40
0,0,0,0
2,4,0,0
3,295,0,0
0,0,0,0
2,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
1,0,0,0
1,0,100,0
1,70,0,0
0,0,0,0
2,0,0,0
0,0,50,0
0,0,10,10
0,0,0,0
1,0,0,0
1,0,15,0
0,0,0,0
0,0,0,0
2,190,35,0
0,0,220,0
0,0,0,0
0,0,10,10
1,0,0,0
2,265,20,0
2,420,35,0
0,0,240,90
0,0,0,60
0,0,0,0
1,0,0,0
2,10,0,0
2,175,60,0
2,15,50,0
1,0,150,0
0,0,30,0
1,11,149,60
0,0,0,0
1,120,0,0
1,35,0,10
0,0,295,65
0,0,82,0
0,0,30,0
1,0,0,0
2,15,0,0
0,0,35,60
2,60,0,0
0,0,40,0
1,50,150,80
1,250,45,0
0,0,0,0
0,0,0,0
2,6,0,0
0,0,0,0
1,0,90,0
0,0,0,60
0,0,0,0
0,0,0,0
2,45,0,0
2,90,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
1,67,8,60
1,0,280,90
0,0,90,0
1,240,0,0
2,75,0,0
2,62,190,0
1,25,15,0
2,30,0,0
0,0,0,0
2,2,30,55
0,0,10,45
1,10,0,0
1,105,50,0
1,0,0,0
2,0,0,0
0,0,0,0
0,0,0,0
1,7,95,0
2,308,180,0
0,0,0,0
1,0,455,0
1,310,60,0
0,0,0,15
1,0,0,15
0,0,0,0
0,0,0,0
0,0,0,0
0,0,150,0
0,0,130,115
2,10,180,0
2,30,0,0
1,0,0,0
0,0,60,0
0,0,95,120
2,90,0,0
1,70,20,0
0,0,660,0
3,135,0,0
1,0,0,0
0,0,55,0
1,75,60,0
3,0,0,0
0,0,20,0
1,71,0,0
0,0,0,0
0,0,45,0
0,0,195,0
2,1,0,0
2,0,0,0
1,0,97,120
0,0,0,0
0,0,0,0
1,0,0,0
1,32,0,0
1,0,120,0
1,40,0,0
0,0,0,15
0,0,210,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,60,0
0,0,100,0
0,0,20,0
0,0,0,0
2,96,0,0
0,0,0,0
2,0,0,0
0,0,0,0
1,40,0,30
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,30,0
0,0,0,0
5,60,60,0
3,130,180,60
0,0,0,0
0,0,0,0
3,135,0,0
0,0,0,0
4,0,0,60
0,0,85,60
0,0,0,0
0,0,0,0
1,1,0,0
2,0,0,0
1,0,90,5
0,0,0,0
2,90,0,0
0,0,158,0
1,10,165,0
2,60,260,0
0,0,10,0
0,0,0,0
2,35,45,0
0,0,0,0
0,0,0,0
2,0,105,0
1,0,0,0
2,50,30,0
1,0,0,0
2,40,60,0
2,0,0,0
0,0,0,20
2,0,0,0
0,0,0,0
6,0,0,0
2,98,120,0
2,5,35,0
0,0,0,0
1,0,0,0
3,30,70,60
0,0,0,0
2,0,0,0
4,0,240,0
1,30,420,0
0,0,60,90
0,0,0,0
2,300,60,0
3,125,220,0
0,0,150,0
0,0,0,0
4,0,0,0
0,0,75,45
0,0,0,0
4,0,60,0
1,120,0,0
0,0,20,60
0,0,0,0
2,166,105,0
2,40,20,0
0,0,180,0
2,0,0,0
0,0,135,0
1,0,0,0
2,145,0,0
0,0,0,0
1,0,0,0
0,0,30,0
0,0,15,30
0,0,0,0
1,0,0,0
2,210,0,0
0,0,10,0
0,0,0,0
2,258,0,50
0,0,120,0
0,0,20,30
2,0,0,0
0,0,285,0
0,0,0,10
0,0,15,0
0,0,0,0
1,75,0,0
3,0,0,0
3,0,0,0
2,90,15,45
0,0,50,0
0,0,0,0
2,55,0,0
1,0,0,0
0,0,0,30
0,0,0,0
0,0,0,0
0,0,0,0
1,65,0,0
2,0,0,0
0,0,50,0
2,20,120,0
1,0,0,0
2,0,0,0
0,0,0,15
0,0,60,0
1,0,90,0
2,265,0,0
1,201,45,0
0,0,210,60
0,0,0,0
0,0,60,30
1,480,50,0
1,65,0,0
0,0,30,0
0,0,0,0
0,0,25,0
0,0,90,0
3,0,134,0
0,0,75,0
2,10,40,0
1,0,0,0
0,0,10,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,70,20
1,352,0,0
0,0,130,20
0,0,0,0
2,0,0,0
0,0,30,0
3,45,0,0
0,0,0,0
2,0,0,0
0,0,0,0
0,0,92,0
1,0,0,0
3,301,55,30
0,0,0,0
1,84,30,45
0,0,0,15
0,0,55,10
1,0,120,45
